run_id,dataset_id,method_id,noise_condition_id,noise_sigma,replication_id,perturbation_seed,data_seed,status,scientific_evidence_eligible,primary_stability_eligible,bottleneck_distance,wasserstein_distance,coverage_fraction,n_nodes,n_edges,n_components,beta_0_graph,beta_1_graph,beta_0_nerve,beta_1_nerve,wall_time_seconds,cpu_time_seconds
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep20__3d6092f8c3587c64,swiss_roll_with_hole,conventional,sigma_0.01,0.01,20,2095019272.0,42,success,True,True,0.28727995084009095,0.7309505476647438,0.9558232931726908,145.0,63.0,82.0,82.0,0.0,82.0,0.0,0.04117176399995515,0.04116839600000333
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep20__2f9773650bd06d3f,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,20,2095019272.0,42,success,True,True,0.19147907568121525,0.7409022354225896,0.9558232931726908,128.0,46.0,82.0,82.0,0.0,82.0,0.0,5.1961759780006105,5.195650080999997
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep21__0177327feaf2edc5,swiss_roll_with_hole,conventional,sigma_0.01,0.01,21,822247491.0,42,success,True,True,0.28904710873155715,1.0924250422936685,0.9553770638107988,141.0,59.0,82.0,82.0,0.0,82.0,0.0,0.05878733699955774,0.058543235000001914
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep21__de0d39d22253647c,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,21,822247491.0,42,success,True,True,0.6043825761154231,1.1845105056918852,0.9553770638107988,126.0,44.0,82.0,82.0,0.0,82.0,0.0,5.1124582069996904,5.111866264
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep22__45b6b7084c8b73a6,swiss_roll_with_hole,conventional,sigma_0.01,0.01,22,918703354.0,42,success,True,True,0.13149234555152756,0.5436380549143971,0.9509147701918786,139.0,60.0,79.0,79.0,0.0,79.0,0.0,0.03001951700025529,0.0300045219999987
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep22__8da4f2bd34ee7c44,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,22,918703354.0,42,success,True,True,0.09198254334603284,0.376593271624734,0.9509147701918786,123.0,44.0,79.0,79.0,0.0,79.0,0.0,5.141634884999803,5.141202328000006
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep23__eea0838e2099ae1f,swiss_roll_with_hole,conventional,sigma_0.01,0.01,23,849073732.0,42,success,True,True,0.28822533382053095,0.8977761202104615,0.9531459170013387,143.0,63.0,80.0,80.0,0.0,80.0,0.0,0.03647533799994562,0.0364025970000057
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep23__b89d1b0852519c8f,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,23,849073732.0,42,success,True,True,0.5999973120338424,1.229282705106093,0.9531459170013387,122.0,42.0,80.0,80.0,0.0,80.0,0.0,5.079604272999859,5.0790950760000015
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep24__49c80749679f2014,swiss_roll_with_hole,conventional,sigma_0.01,0.01,24,1549901081.0,42,success,True,True,0.38628116506194665,1.9227548968313002,0.9544846050870147,135.0,56.0,79.0,79.0,0.0,79.0,0.0,0.03241932400032965,0.032396563999981254
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep24__9be77d1c40aa2351,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,24,1549901081.0,42,success,True,True,0.4491533480029464,1.3651362895547328,0.9544846050870147,125.0,46.0,79.0,79.0,0.0,79.0,0.0,5.124755386999823,5.124242400000014
