planned_unit_id,historical_source_run_id,dataset_id,method_id,sigma,replicate,r0_clean_match,r0_pert_match,historical_status,reconstructed_status,status_match,structural_fingerprint_match,pullback_identity_match,membership_persisted
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep17,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep17,unit_circle_S1,conventional,0.03,17,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep17,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep17,unit_circle_S1,f_mapper,0.03,17,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep18,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep18,unit_circle_S1,conventional,0.03,18,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep18,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep18,unit_circle_S1,f_mapper,0.03,18,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep19,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep19,unit_circle_S1,conventional,0.03,19,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep19,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep19,unit_circle_S1,f_mapper,0.03,19,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep20,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep20,unit_circle_S1,conventional,0.03,20,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep20,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep20,unit_circle_S1,f_mapper,0.03,20,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep21,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep21,unit_circle_S1,conventional,0.03,21,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep21,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep21,unit_circle_S1,f_mapper,0.03,21,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep22,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep22,unit_circle_S1,conventional,0.03,22,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep22,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep22,unit_circle_S1,f_mapper,0.03,22,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep23,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep23,unit_circle_S1,conventional,0.03,23,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep23,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.03__rep23,unit_circle_S1,f_mapper,0.03,23,True,True,success,success,True,True,True,True
N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep24,M6A__unit_circle_S1__N1000__conventional__sigma_0.03__rep24,unit_circle_S1,conventional,0.03,24,True,True,success,success,True,True,True,True
