matched_index_id,historical_source_run_id,shared_construction_id,axis1_record_id,axis2_record_id,dataset_id,method_id,noise_sigma,replicate_id,clean_dataset_hash,perturbed_dataset_hash,evidence_role
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep15,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep15,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep15,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep15,unit_circle_S1,conventional,0.01,15,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,30674981e6f95ba117665a050fdb9c60cc062f9fa4574c62dbdf0f663440d13c,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep15,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep15,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep15,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep15,unit_circle_S1,f_mapper,0.01,15,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,30674981e6f95ba117665a050fdb9c60cc062f9fa4574c62dbdf0f663440d13c,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep16,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep16,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep16,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep16,unit_circle_S1,conventional,0.01,16,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,9add28bbac60e04f4cf28b269f8011592d90182a06887f2038c3a9fc0a708008,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep16,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep16,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep16,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep16,unit_circle_S1,f_mapper,0.01,16,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,9add28bbac60e04f4cf28b269f8011592d90182a06887f2038c3a9fc0a708008,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep17,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep17,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep17,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep17,unit_circle_S1,conventional,0.01,17,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,5c9c87f618327b6a92035e936bb51f11a48ffc480dfcdb43db0914686133225e,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep17,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep17,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep17,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep17,unit_circle_S1,f_mapper,0.01,17,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,5c9c87f618327b6a92035e936bb51f11a48ffc480dfcdb43db0914686133225e,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep18,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep18,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep18,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep18,unit_circle_S1,conventional,0.01,18,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,48e8a24f0609bfc00fdd4630600a21b581f7bcecfed6afde08b618e657a44586,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep18,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep18,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep18,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep18,unit_circle_S1,f_mapper,0.01,18,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,48e8a24f0609bfc00fdd4630600a21b581f7bcecfed6afde08b618e657a44586,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep19,M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep19,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep19,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__conventional__sigma_0.01__rep19,unit_circle_S1,conventional,0.01,19,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,5bd8a69ee403c8b4e62265e3f2fceeb502f6b88af17c56b3bcdbae5fe92c8453,retrospective_axis2_derivation
INDEX__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep19,M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep19,,HISTORICAL_AXIS1__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep19,AXIS2__N1_C_RETRO__M6A__unit_circle_S1__N1000__f_mapper__sigma_0.01__rep19,unit_circle_S1,f_mapper,0.01,19,6950bef979837cbe5a152ccfaca96d55cf83ab99d69dfc9894e64857a7769d6e,5bd8a69ee403c8b4e62265e3f2fceeb502f6b88af17c56b3bcdbae5fe92c8453,retrospective_axis2_derivation
